file,section,title,date,slug,old_categories,old_tags,proposed_tags,needs_review
writing/01-dharamkshetra-gandhari/index.md,writing,धर्मक्षेत्र: माता गांधारी का आरोप,2022-05-30,,"life, thoughts",,personal,YES
writing/02-song-of-lord/index.md,writing,The Song of The Lord,2022-06-12,,"life, thoughts",,personal,YES
writing/2018-11-24-presentation-on-latex/index.md,writing,Presentation on LaTeX,2018-11-24,presentation-on-latex,"iim, workshop",statistics,"academia, statistics",
writing/2019-04-13-how-to-decide-to-do-or-not-to-do/index.md,writing,"How to decide: to do, or not to do?",2019-04-13,[],"life, thoughts",confusing,confusing,YES
writing/2019-06-02-iphones-in-india/index.md,writing,iPhones in India,2019-06-02,[],thoughts,,personal,YES
writing/2019-11-25-gartner-hype-cycle/index.md,writing,Gartner Hype Cycle,2019-11-25,[],"iim, thoughts",,academia,YES
writing/2020-06-03-exploring-my-spotify-listening/index.md,writing,Exploring My Spotify Listening,2020-06-03,[],"R, life, music","life, music","music, personal, r",YES
writing/2020-06-10-twitter-sentiments/index.md,writing,Sentiment Analysis of Tweets,2020-06-10,twitter-sentiments,"R, statistics",india,"data-science, india, r",
writing/2020-09-11-ipm-what-you-need-to-know/index.md,writing,IPM: What You Need To Know,2020-09-11,[],"life, iim",iim indore,"academia, iim indore",YES
writing/2020-12-24-forecasting-malaria-vaccine-demand/index.md,writing,Forecasting Malaria Vaccine Demand,2020-12-24,[],"statistics, R",government,"data-science, government, r",
writing/2021-02-15-is-covid-19-data-tampered/index.md,writing,Is COVID-19 Data tampered?,2021-02-15,[],"R, statistics",covid-19,"covid-19, data-science, r",
writing/2021-03-01-bliss-lifesciences/index.md,writing,Bliss Lifesciences,2021-03-01,[],business,,economics,
writing/2021-05-30-how-is-government-s-employment-system-broken/index.md,writing,How is Government's Employment System Broken?,2021-05-30,[],thoughts,"india, government","government, india",YES
writing/2021-06-11-a-better-way-to-fund-college-education/index.md,writing,A (better) Way to Fund College Education,2020-08-11,[],"iim, life, thoughts","iim indore, life","academia, iim indore",YES
writing/2021-06-19-inspiring-quotes/index.md,writing,Inspiring Quotes,2021-06-19,quotes,life,,personal,YES
writing/2021-06-19-invento-robotics/index.md,writing,Invento Robotics,2021-06-19,[],"publication, business",,"academia, economics",
writing/2021-06-19-museums-and-experience-tourism/index.md,writing,Museums and Experience Tourism,2019-05-05,[],"life, thoughts","life, india",india,YES
writing/2021-06-19-notes-on-latex/index.md,writing,Notes on LaTeX,2021-06-19,latex,package,,tools,
writing/2021-06-19-smart-villages-indore/index.md,writing,Smart Villages Indore,2016-11-01,[],"life, social",,personal,YES
writing/2021-06-19-understanding-profits-of-non-profits/index.md,writing,Understanding Profits of Non-profits,2020-03-07,[],"iim, thoughts","government, iim indore, india","academia, government, iim indore, india",YES
writing/2021-06-19-what-i-find-interesting/index.md,writing,What I Find Interesting,2021-06-19,[],"life, social, thoughts",,personal,YES
writing/2021-07-05-yihui-on-blogging-and-writing-books/index.md,writing,Yihui on Blogging and Writing Books,2021-07-05,yihui-on-blogging-and-writing-books,"R, statistics, workshop","statistics, R","academia, data-science, r, statistics",
writing/2021-07-06-irctc-s-captcha-is-smart/index.md,writing,IRCTC's Captcha is Smart,2021-07-06,irctc-captcha-is-smart,thoughts,,personal,YES
writing/2021-07-11-ellsberg-s-paradox/index.md,writing,Ellsberg's Paradox,2021-07-11,ellsberg-paradox,"R, statistics, life, economics","blog, probability, R","data-science, economics, probability, r",YES
writing/2021-07-15-aspect-ratio-merck/index.md,writing,Aspect Ratio (Merck Inc.),2021-07-15,aspect-ratio,"business, life","blog, india","economics, india",YES
writing/2021-07-27-technical-and-casual-writing/index.md,writing,Technical and Casual Writing,2021-07-27,technical-and-casual-writing,"blog, publications, thoughts","blog, blogdown, life","academia, blogdown",YES
writing/2021-08-01-ten-days-in-the-united-states/index.md,writing,Ten days in the United States,2021-08-01,ten-days-in-the-united-states,"blog, life, social, thoughts","blog, government, india, life","government, india",YES
writing/2021-09-07-supervised-learning-using-baysian-decision-rule/index.md,writing,Supervised Learning Using Baysian Decision Rule,2021-09-07,supervised-learning-using-baysian-decision-rule,"R, Python, statistics, ML",,"data-science, machine-learning, python, r",
writing/2021-10-06-next-today-i-learnt-about-r/index.md,writing,Next — Today I Learnt About R,2021-10-06,next-today-i-learnt-about-r,"R, social",R,r,YES
writing/2021-11-08-how-fast-is-m1/index.md,writing,How fast is M1?,2021-11-08,how-fast-is-m1,"blog, R",R,r,YES
writing/2021-11-29-replicating-tennessee-star-project/index.md,writing,Replicating Tennessee STAR Project,2021-11-29,replicating-tennessee-star-project,"economics, STATA, statistics, social",,"data-science, economics",YES
writing/2021-12-08-my-name/index.md,writing,My Name,2021-12-08,my-name,"thoughts, publications, social, life",,academia,YES
writing/2021-12-09-ai-improvements/index.md,writing,Improvements in Artificial Intelligence,2021-12-09,ai,"life, statistics",,data-science,YES
